US States,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Total Cases per million,Deaths per million,Total tests,Tests per million
New York ,293354,5041,22275,367,239861,14953,1135,805350,41051
New Jersey ,109038,3515,5938,75,101829,12277,669,223062,25114
Massachusetts ,53348,,2730,,42500,7811,400,226845,33212
California ,42688,337,1695,9,37656,1090,43,494173,12623
Pennsylvania ,41777,,1874,,39297,3258,146,201617,15725
Illinois ,41697,,1804,,39243,3260,141,192235,15029
Michigan ,37203,,3274,,25587,3736,329,144044,14466
Florida ,31528,689,1074,19,29768,1531,52,346365,16815
Louisiana ,26773,261,1729,26,10117,5741,371,142056,30460
Connecticut ,24631,436,648,7,13997,883,23,276021,9898
Texas ,24582,,1862,,22655,6864,520,77602,21667
Georgia ,23401,185,912,5,22458,2272,89,122604,11906
Maryland ,18581,815,910,35,16494,3095,152,96665,16102
Ohio,15587,,711,,14756,1339,61,111379,9567
Indiana ,15012,617,813,28,14185,2262,122,81708,12310
Washington ,13319,,738,,10774,1826,101,170594,23387
Colorado ,12970,604,448,12,10707,1542,53,76118,9047
Virginia ,12968,,672,,11737,2345,121,59791,10810
Tennessee ,9189,,178,,4544,1382,27,141406,21261
North Carolina ,8946,193,314,9,7330,881,31,107894,10624
Missouri ,7439,310,226,11,6871,7040,214,53403,50542
Rhode Island ,6881,,283,,6051,1130,46,67017,11004
Alabama ,6526,246,275,2,6181,939,40,64811,9330
Arizona ,6253,40,213,,6020,1285,44,71344,14666
Mississippi ,5911,193,227,6,5684,1978,76,60788,20339
Wisconsin ,5687,,266,,3108,984,46,62825,10872
South Carolina ,5476,384,118,6,3754,1748,38,31973,10207
Nevada ,5253,,166,,1386,1060,33,49014,9890
Iowa,4539,,206,2,2492,1553,70,45885,15699
Utah ,4034,458,120,8,3003,4249,126,19249,20273
Kentucky ,3948,,41,,3019,1296,13,90206,29621
District of Columbia ,3905,,205,,2578,879,46,46558,10486
Delaware ,3841,142,178,13,3006,5611,260,18068,26396
Oklahoma ,3602,156,272,28,1556,652,49,58987,10672
Minnesota ,3253,60,195,1,919,830,50,53012,13530
Arkansas ,3135,,120,,2512,1078,41,25199,8663
Kansas ,2938,29,48,,1905,982,16,39327,13150
New Mexico ,2732,,53,,2657,1434,28,21377,11223
Oregon ,2660,,93,,1953,1271,44,51510,24617
Nebraska ,2253,,87,,2166,552,21,47377,11606
South Dakota,2212,65,11,1,1011,2559,13,15596,18045
Idaho ,1887,,56,,964,1118,33,19361,11471
New Hampshire ,1787,,60,,1177,1330,45,17727,13193
West Virginia ,1044,19,34,1,785,571,19,39063,21357
Maine ,1015,25,50,,433,762,38,17721,13296
Vermont ,867,64,17,1,524,1153,23,20447,27183
North Dakota ,851,8,46,,805,1362,74,14797,23676
Hawaii ,604,,14,,108,425,10,28272,19881
 Wyoming ,491,18,7,,163,844,12,7623,13102
Montana ,448,3,14,,95,430,13,12862,12347
Alaska ,339,,9,,113,459,12,15732,21302
